station,jaar,maand_id,maand,erosiviteit
KMI_6418,2020,4,April,8.51
KMI_6418,2020,5,Mei,0.92
KMI_6418,2020,6,Juni,77.05
KMI_6418,2020,7,Juli,34.54
KMI_6418,2020,8,Augustus,152.01
KMI_6418,2020,9,September,105.34
KMI_6418,2020,10,Oktober,66.57
KMI_6418,2020,11,November,9.87
KMI_6418,2020,12,December,24.27
KMI_6418,2021,1,Januari,18.49
KMI_6418,2021,2,Februari,7.02
KMI_6418,2021,3,Maart,6.66
KMI_6418,2021,4,April,10.22
KMI_6418,2021,5,Mei,34.28
KMI_6418,2021,6,Juni,811.36
KMI_6418,2021,7,Juli,350.8
KMI_6418,2021,8,Augustus,25.67
KMI_6418,2021,9,September,2.84
KMI_6418,2021,10,Oktober,34.38
KMI_6418,2021,11,November,96.8
KMI_6418,2021,12,December,32.31
KMI_6418,2022,1,Januari,5.65
KMI_6418,2022,2,Februari,29.26
KMI_6418,2022,3,Maart,1.88
KMI_6418,2022,4,April,14.62
KMI_6418,2022,5,Mei,26.21
KMI_6418,2022,6,Juni,45.06
KMI_6418,2022,7,Juli,50.1
KMI_6418,2022,8,Augustus,17.95
KMI_6418,2022,9,September,192.15
KMI_6418,2022,10,Oktober,17.21
KMI_6418,2022,11,November,9.01
KMI_6418,2022,12,December,29.19
KMI_6418,2023,1,Januari,10.56
KMI_6418,2023,2,Februari,0.0
KMI_6418,2023,3,Maart,23.79
KMI_6418,2023,4,April,63.61
KMI_6418,2023,5,Mei,21.25
KMI_6418,2023,6,Juni,10.86
KMI_6418,2023,7,Juli,13.91
KMI_6418,2023,8,Augustus,74.48
KMI_6418,2023,9,September,46.46
KMI_6418,2023,10,Oktober,104.74
KMI_6418,2023,11,November,72.24
KMI_6418,2023,12,December,22.32
KMI_6418,2024,1,Januari,8.27
KMI_6418,2024,2,Februari,40.9
KMI_6418,2024,3,Maart,11.44
KMI_6418,2024,4,April,105.27
KMI_6418,2024,5,Mei,106.56
KMI_6418,2024,6,Juni,5.42
KMI_6418,2024,7,Juli,190.24
KMI_6418,2024,8,Augustus,25.21
KMI_6418,2024,9,September,151.43
KMI_6418,2024,10,Oktober,9.97
KMI_6418,2024,11,November,15.83
KMI_6418,2024,12,December,17.76
KMI_6431,2013,1,Januari,67.65
KMI_6431,2013,2,Februari,12.83
KMI_6431,2013,3,Maart,17.4
KMI_6431,2013,4,April,6.49
KMI_6431,2013,5,Mei,60.75
KMI_6431,2013,6,Juni,45.13
KMI_6431,2013,7,Juli,409.02
KMI_6431,2013,8,Augustus,12.39
KMI_6431,2013,9,September,210.09
KMI_6431,2013,10,Oktober,142.27
KMI_6431,2013,11,November,78.79
KMI_6431,2013,12,December,26.56
KMI_6431,2014,1,Januari,158.32
KMI_6431,2014,2,Februari,34.5
KMI_6431,2014,3,Maart,19.3
KMI_6431,2014,4,April,35.11
KMI_6431,2014,5,Mei,85.54
KMI_6431,2014,6,Juni,498.9
KMI_6431,2014,7,Juli,285.79
KMI_6431,2014,8,Augustus,210.19
KMI_6431,2014,9,September,26.74
KMI_6431,2014,10,Oktober,79.31
KMI_6431,2014,11,November,31.22
KMI_6431,2014,12,December,86.05
KMI_6431,2015,1,Januari,84.14
KMI_6431,2015,2,Februari,28.16
KMI_6431,2015,3,Maart,47.5
KMI_6431,2015,4,April,2.22
KMI_6431,2015,5,Mei,242.02
KMI_6431,2015,6,Juni,10.7
KMI_6431,2015,7,Juli,35.38
KMI_6431,2015,8,Augustus,370.26
KMI_6431,2015,9,September,72.72
KMI_6431,2015,10,Oktober,6.38
KMI_6431,2015,11,November,88.49
KMI_6431,2015,12,December,14.06
KMI_6431,2016,1,Januari,100.43
KMI_6431,2016,2,Februari,41.73
KMI_6431,2016,3,Maart,31.03
KMI_6431,2016,4,April,28.71
KMI_6431,2016,5,Mei,137.92
KMI_6431,2016,6,Juni,244.6
KMI_6431,2016,7,Juli,52.91
KMI_6431,2016,8,Augustus,36.23
KMI_6431,2016,9,September,2.83
KMI_6431,2016,10,Oktober,65.99
KMI_6431,2016,11,November,106.1
KMI_6431,2016,12,December,6.82
KMI_6431,2017,1,Januari,72.86
KMI_6431,2017,2,Februari,36.34
KMI_6431,2017,3,Maart,19.1
KMI_6431,2017,4,April,3.12
KMI_6431,2017,5,Mei,33.91
KMI_6431,2017,6,Juni,34.35
KMI_6431,2017,7,Juli,74.44
KMI_6431,2017,8,Augustus,117.35
KMI_6431,2017,9,September,168.53
KMI_6431,2017,10,Oktober,39.28
KMI_6431,2017,11,November,76.01
KMI_6431,2017,12,December,153.64
KMI_6434,2003,1,Januari,62.94
KMI_6434,2003,2,Februari,3.5
KMI_6434,2003,3,Maart,60.96
KMI_6434,2003,4,April,103.55
KMI_6434,2003,5,Mei,42.59
KMI_6434,2003,6,Juni,13.5
KMI_6434,2003,7,Juli,92.98
KMI_6434,2003,8,Augustus,78.42
KMI_6434,2003,9,September,20.57
KMI_6434,2003,10,Oktober,23.04
KMI_6434,2003,11,November,16.37
KMI_6434,2003,12,December,44.93
KMI_6434,2004,1,Januari,64.1
KMI_6434,2004,2,Februari,15.65
KMI_6434,2004,3,Maart,5.8
KMI_6434,2004,4,April,33.54
KMI_6434,2004,5,Mei,25.56
KMI_6434,2004,6,Juni,74.68
KMI_6434,2004,7,Juli,406.74
KMI_6434,2004,8,Augustus,279.1
KMI_6434,2004,9,September,41.42
KMI_6434,2004,10,Oktober,72.81
KMI_6434,2004,11,November,79.29
KMI_6434,2004,12,December,53.44
KMI_6434,2005,1,Januari,14.89
KMI_6434,2005,2,Februari,23.2
KMI_6434,2005,3,Maart,11.78
KMI_6434,2005,4,April,50.75
KMI_6434,2005,5,Mei,77.43
KMI_6434,2005,6,Juni,32.2
KMI_6434,2005,7,Juli,548.9
KMI_6434,2005,8,Augustus,589.05
KMI_6434,2005,9,September,25.69
KMI_6434,2005,10,Oktober,31.77
KMI_6434,2005,11,November,63.59
KMI_6434,2005,12,December,18.52
KMI_6434,2006,1,Januari,12.89
KMI_6434,2006,2,Februari,44.36
KMI_6434,2006,3,Maart,47.03
KMI_6434,2006,4,April,44.42
KMI_6434,2006,5,Mei,110.31
KMI_6434,2006,6,Juni,52.69
KMI_6434,2006,7,Juli,17.93
KMI_6434,2006,8,Augustus,1401.13
KMI_6434,2006,9,September,8.75
KMI_6434,2006,10,Oktober,242.25
KMI_6434,2006,11,November,72.33
KMI_6434,2006,12,December,128.3
KMI_6434,2007,1,Januari,36.13
KMI_6434,2007,2,Februari,94.09
KMI_6434,2007,3,Maart,59.01
KMI_6434,2007,4,April,0.0
KMI_6434,2007,5,Mei,159.94
KMI_6434,2007,6,Juni,385.41
KMI_6434,2007,7,Juli,743.32
KMI_6434,2007,8,Augustus,170.5
KMI_6434,2007,9,September,102.55
KMI_6434,2007,10,Oktober,56.14
KMI_6434,2007,11,November,80.23
KMI_6434,2007,12,December,57.65
KMI_6434,2008,1,Januari,17.16
KMI_6434,2008,2,Februari,51.97
KMI_6434,2008,3,Maart,79.0
KMI_6434,2008,4,April,123.76
KMI_6434,2008,5,Mei,30.59
KMI_6434,2008,6,Juni,186.31
KMI_6434,2008,7,Juli,46.99
KMI_6434,2008,8,Augustus,200.71
KMI_6434,2008,9,September,43.14
KMI_6434,2008,10,Oktober,63.63
KMI_6434,2008,11,November,74.0
KMI_6434,2008,12,December,17.67
KMI_6434,2009,1,Januari,28.03
KMI_6434,2009,2,Februari,29.29
KMI_6434,2009,3,Maart,84.42
KMI_6434,2009,4,April,13.44
KMI_6434,2009,5,Mei,393.36
KMI_6434,2009,6,Juni,85.94
KMI_6434,2009,7,Juli,110.51
KMI_6434,2009,8,Augustus,15.64
KMI_6434,2009,9,September,19.71
KMI_6434,2009,10,Oktober,306.38
KMI_6434,2009,11,November,154.63
KMI_6434,2009,12,December,59.03
KMI_6434,2011,1,Januari,5.47
KMI_6434,2011,2,Februari,16.09
KMI_6434,2011,3,Maart,5.94
KMI_6434,2011,4,April,7.85
KMI_6434,2011,5,Mei,31.56
KMI_6434,2011,6,Juni,111.61
KMI_6434,2011,7,Juli,393.95
KMI_6434,2011,8,Augustus,96.34
KMI_6434,2011,9,September,370.95
KMI_6434,2011,10,Oktober,19.07
KMI_6434,2011,11,November,0.83
KMI_6434,2011,12,December,138.5
KMI_6434,2012,1,Januari,60.76
KMI_6434,2012,2,Februari,6.86
KMI_6434,2012,3,Maart,52.77
KMI_6434,2012,4,April,158.53
KMI_6434,2012,5,Mei,76.97
KMI_6434,2012,6,Juni,220.22
KMI_6434,2012,7,Juli,370.93
KMI_6434,2012,8,Augustus,100.89
KMI_6434,2012,9,September,184.52
KMI_6434,2012,10,Oktober,127.62
KMI_6434,2012,11,November,8.99
KMI_6434,2012,12,December,139.63
KMI_6434,2013,1,Januari,43.42
KMI_6434,2013,2,Februari,18.84
KMI_6434,2013,3,Maart,18.06
KMI_6434,2013,4,April,7.33
KMI_6434,2013,5,Mei,84.84
KMI_6434,2013,6,Juni,168.23
KMI_6434,2013,7,Juli,1318.11
KMI_6434,2013,8,Augustus,16.89
KMI_6434,2013,9,September,120.52
KMI_6434,2013,10,Oktober,160.55
KMI_6434,2013,11,November,199.81
KMI_6434,2013,12,December,96.87
KMI_6434,2014,1,Januari,51.47
KMI_6434,2014,2,Februari,60.54
KMI_6434,2014,3,Maart,14.82
KMI_6434,2014,4,April,17.49
KMI_6434,2014,5,Mei,139.79
KMI_6434,2014,6,Juni,45.83
KMI_6434,2014,7,Juli,160.11
KMI_6434,2014,8,Augustus,1235.83
KMI_6434,2014,9,September,21.54
KMI_6434,2014,10,Oktober,83.36
KMI_6434,2014,11,November,80.2
KMI_6434,2014,12,December,79.28
KMI_6434,2015,1,Januari,118.91
KMI_6434,2015,2,Februari,31.66
KMI_6434,2015,3,Maart,42.3
KMI_6434,2015,4,April,43.07
