observatie,datum,property,waarde,eenheid,locatie,procedure
http://example.org/peilmeting_2017-03-28diepte_tov_referentiepunt,2017-03-28,http://example.org/diepte_tov_referentiepunt,1.31,http://qudt.org/vocab/unit#Meter,https://www.dov.vlaanderen.be/data/put/2017-003450,http://example.org/peillint_methode
http://example.org/peilmeting_2017-03-28zoet,2017-03-28,http://example.org/zoet,N,,https://www.dov.vlaanderen.be/data/put/2017-003450,http://example.org/smaaktest
http://example.org/peilmeting_2017-03-28filterstatus,2017-03-28,http://example.org/filterstatus,in rust,,https://www.dov.vlaanderen.be/data/put/2017-003450,http://example.org/visuele_controle
http://example.org/peilmeting_2017-03-28peil_mtaw,2017-03-28,http://example.org/peil_mtaw,8.47,http://qudt.org/vocab/unit#Meter,https://www.dov.vlaanderen.be/data/put/2017-003450,http://example.org/peillint_methode
http://example.org/peilmeting_2017-03-28filtertoestand,2017-03-28,http://example.org/filtertoestand,1,,https://www.dov.vlaanderen.be/data/put/2017-003450,http://example.org/visueel_methode
http://example.org/peilmeting_2015-05-26zoet,2015-05-26,http://example.org/zoet,"",,https://www.dov.vlaanderen.be/data/put/2017-003450,http://example.org/smaaktest
http://example.org/peilmeting_2015-05-26filtertoestand,2015-05-26,http://example.org/filtertoestand,1,,https://www.dov.vlaanderen.be/data/put/2017-003450,http://example.org/visueel_methode
http://example.org/peilmeting_2015-05-26filterstatus,2015-05-26,http://example.org/filterstatus,in rust,,https://www.dov.vlaanderen.be/data/put/2017-003450,http://example.org/visuele_controle
http://example.org/peilmeting_2015-05-26diepte_tov_referentiepunt,2015-05-26,http://example.org/diepte_tov_referentiepunt,1.97,http://qudt.org/vocab/unit#Meter,https://www.dov.vlaanderen.be/data/put/2017-003450,http://example.org/peillint_methode
http://example.org/peilmeting_2015-05-26peil_mtaw,2015-05-26,http://example.org/peil_mtaw,7.81,http://qudt.org/vocab/unit#Meter,https://www.dov.vlaanderen.be/data/put/2017-003450,http://example.org/peillint_methode
